S.No,CHK_ACCT,Duration,History,Purpose of credit,Credit Amount,Balance in Savings A/C,Employment,Install_rate,Marital status,S.No.,Co-applicant,Present Resident,Real Estate,Age,Other installment,Residence,Num_Credits,Job,No. dependents,Phone,Foreign,Credit classification
973,0DM,24, bank-paid-duly, new-car,1193, less100DM, unemployed,1, female-divorced,973, co-applicant,4, none,29, none, rent,2, unemployed-non-resident,1, yes, yes, bad.
974,0DM,60, duly-till-now, business,7297, less100DM, over-seven,4, single-male,974, co-applicant,4, none,36, none, rent,1, skilled,1, yes, yes, bad.
975,no-account,30, critical, radio-tv,2831, less100DM, four-years,4, female-divorced,975, none,2, car,33, none, own,1, skilled,1, no, yes, good.
976,over-200DM,24, duly-till-now, radio-tv,1258, less1000DM, four-years,3, female-divorced,976, none,3, car,57, none, own,1, unskilled-resident,1, yes, yes, good.
977,less-200DM,6, duly-till-now, radio-tv,753, less100DM, four-years,2, female-divorced,977, guarantor,3, real-estate,64, none, own,1, skilled,1, yes, yes, good.
978,less-200DM,18, delay, business,2427, unknown, over-seven,4, single-male,978, none,2, building-society,42, none, own,2, skilled,1, yes, yes, good.
979,no-account,24, delay, new-car,2538, less100DM, over-seven,4, single-male,979, none,4, car,47, none, own,2, unskilled-resident,2, yes, yes, bad.
980,less-200DM,15, bank-paid-duly, new-car,1264, less500DM, four-years,2, married-male,980, none,2, building-society,25, none, rent,1, skilled,1, yes, yes, bad.
981,less-200DM,30, critical, furniture,8386, less100DM, seven-years,2, single-male,981, none,2, building-society,49, none, own,1, skilled,1, yes, yes, bad.
982,no-account,48, duly-till-now, business,4844, less100DM, unemployed,3, single-male,982, none,2, car,33, bank, rent,1, management,1, no, yes, bad.
983,over-200DM,21, duly-till-now, new-car,2923, less500DM, four-years,1, female-divorced,983, none,1, car,28, bank, own,1, management,1, no, yes, good.
984,0DM,36, duly-till-now, used-car,8229, less100DM, four-years,2, single-male,984, none,2, building-society,26, none, own,1, skilled,2, yes, yes, bad.
985,no-account,24, critical, furniture,2028, less100DM, seven-years,2, single-male,985, none,2, building-society,30, none, own,2, unskilled-resident,1, yes, yes, good.
986,0DM,15, critical, furniture,1433, less100DM, four-years,4, female-divorced,986, none,3, building-society,25, none, rent,2, skilled,1, yes, yes, good.
987,over-200DM,42, all-paid-duly, business,6289, less100DM, one-year,2, male-divorced,987, none,1, building-society,33, none, own,2, skilled,1, yes, yes, good.
988,no-account,13, duly-till-now, radio-tv,1409, less500DM, unemployed,2, female-divorced,988, none,4, real-estate,64, none, own,1, skilled,1, yes, yes, good.
989,0DM,24, duly-till-now, used-car,6579, less100DM, unemployed,4, single-male,989, none,2, none,29, none, free,1, management,1, no, yes, good.
990,less-200DM,24, critical, radio-tv,1743, less100DM, over-seven,4, single-male,990, none,2, building-society,48, none, own,2, unskilled-resident,1, yes, yes, good.
991,no-account,12, critical, education,3565, unknown, one-year,2, single-male,991, none,1, building-society,37, none, own,2, unskilled-resident,2, yes, yes, good.
992,no-account,15, bank-paid-duly, radio-tv,1569, less500DM, over-seven,4, single-male,992, none,4, car,34, bank, own,1, unskilled-resident,2, yes, yes, good.
993,0DM,18, duly-till-now, radio-tv,1936, unknown, seven-years,2, married-male,993, none,4, car,23, none, rent,2, unskilled-resident,1, yes, yes, good.
994,0DM,36, duly-till-now, furniture,3959, less100DM, unemployed,4, single-male,994, none,3, building-society,30, none, own,1, management,1, no, yes, good.
995,no-account,12, duly-till-now, new-car,2390, unknown, over-seven,4, single-male,995, none,3, car,50, none, own,1, skilled,1, no, yes, good.
996,no-account,12, duly-till-now, furniture,1736, less100DM, seven-years,3, female-divorced,996, none,4, real-estate,31, none, own,1, unskilled-resident,1, yes, yes, good.
997,0DM,30, duly-till-now, used-car,3857, less100DM, four-years,4, male-divorced,997, none,4, building-society,40, none, own,1, management,1, no, yes, good.
998,no-account,12, duly-till-now, radio-tv,804, less100DM, over-seven,4, single-male,998, none,4, car,38, none, own,1, skilled,1, yes, yes, good.
999,0DM,45, duly-till-now, radio-tv,1845, less100DM, four-years,4, single-male,999, none,4, none,23, none, free,1, skilled,1, no, yes, bad.
1000,less-200DM,45, critical, used-car,4576, less500DM, unemployed,3, single-male,1000, none,4, car,27, none, own,1, skilled,1, yes, yes, good.
